id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z
1,2025-07-23T13:33:48.002026,BP_TelemetryFPS4Character_C_0,-4.05,141.98,-1688.53,396.9,241.5
2,2025-07-23T13:33:48.184387,BP_TelemetryFPS4Character_C_0,-4.57,148.38,-1601.24,337.12,241.69
3,2025-07-23T13:33:48.385885,BP_TelemetryFPS4Character_C_0,-5.34,158.15,-1490.46,281.52,241.98
4,2025-07-23T13:33:48.621611,BP_TelemetryFPS4Character_C_0,-7.04,175.6,-1314.38,242.89,242.67
5,2025-07-23T13:33:49.025102,BP_TelemetryFPS4Character_C_0,-11.61,-158.82,-1128.89,272.69,244.73
6,2025-07-23T13:33:49.224984,BP_TelemetryFPS4Character_C_0,-21.18,-150.97,-1126.25,350.44,249.86
7,2025-07-23T13:33:49.458860,BP_TelemetryFPS4Character_C_0,-30.79,-120.43,-1005.4,474.91,255.24
8,2025-07-23T13:33:49.659578,BP_TelemetryFPS4Character_C_0,-26.73,-103.71,-963.74,585.66,253.04
9,2025-07-23T13:33:49.860854,BP_TelemetryFPS4Character_C_0,-20.23,-69.92,-967.35,779.68,249.32
10,2025-07-23T13:33:50.261646,BP_TelemetryFPS4Character_C_0,-42.8,-122.52,-1240.3,844.57,270.82
11,2025-07-23T13:33:50.496236,BP_TelemetryFPS4Character_C_0,-61.56,-118.01,-1328.92,865.63,303.46
12,2025-07-23T13:33:50.696249,BP_TelemetryFPS4Character_C_0,-59.36,-116.04,-1409.98,927.95,301.11
13,2025-07-23T13:33:50.929838,BP_TelemetryFPS4Character_C_0,-47.31,-99.85,-1471.21,989.0,275.52
14,2025-07-23T13:33:51.129874,BP_TelemetryFPS4Character_C_0,-27.95,-104.64,-1559.96,1065.81,251.79
15,2025-07-23T13:33:51.365176,BP_TelemetryFPS4Character_C_0,-24.37,-99.25,-1669.33,1156.3,251.7
16,2025-07-23T13:33:51.799249,BP_TelemetryFPS4Character_C_0,-45.09,-43.84,-1685.36,1309.21,273.49
17,2025-07-23T13:33:51.999257,BP_TelemetryFPS4Character_C_0,-46.83,-56.28,-1869.51,1436.94,275.08
18,2025-07-23T13:33:52.200827,BP_TelemetryFPS4Character_C_0,-20.5,-44.71,-1935.63,1514.59,249.47
19,2025-07-23T13:33:52.402791,BP_TelemetryFPS4Character_C_0,-22.99,-63.51,-2108.08,1528.21,249.5
20,2025-07-23T13:33:52.639197,BP_TelemetryFPS4Character_C_0,-23.62,-63.44,-2221.22,1560.11,249.61
